-0.004555,-0.006827,-0.700025,0.714071,-0.000399,-0.000777,-0.002566
-0.004940,-0.006687,-0.699842,0.714249,-0.000226,-0.001098,-0.002284
-0.004952,-0.006731,-0.699836,0.714254,-0.000199,-0.001084,-0.002254
-0.004945,-0.006832,-0.699839,0.714251,-0.000294,-0.001026,-0.002198
-0.005094,-0.006724,-0.699847,0.714243,-0.000316,-0.000959,-0.002196
-0.005217,-0.006584,-0.699864,0.714227,-0.000255,-0.000991,-0.002069
-0.005348,-0.006492,-0.699878,0.714213,-0.000144,-0.000988,-0.001993
-0.005362,-0.006545,-0.699874,0.714217,-0.000151,-0.001007,-0.001978
-0.005232,-0.006820,-0.699855,0.714233,-0.000142,-0.001075,-0.001926
-0.005169,-0.006829,-0.699866,0.714223,-0.000150,-0.001075,-0.001929
-0.005242,-0.006816,-0.699860,0.714228,-0.000118,-0.001084,-0.001856
-0.005143,-0.006906,-0.699857,0.714231,-0.000091,-0.001107,-0.001884
-0.004990,-0.007110,-0.699842,0.714245,-0.000153,-0.001160,-0.001863
-0.004997,-0.007127,-0.699842,0.714245,-0.000190,-0.001152,-0.001893
-0.005010,-0.007148,-0.699804,0.714281,-0.000180,-0.000976,-0.001893
-0.004978,-0.007133,-0.699817,0.714269,-0.000207,-0.000975,-0.001867
-0.004965,-0.007136,-0.699807,0.714279,-0.000239,-0.001036,-0.001808
-0.004923,-0.007174,-0.699850,0.714237,-0.000267,-0.001127,-0.001756
-0.005062,-0.007118,-0.699858,0.714229,-0.000209,-0.001214,-0.001748
-0.005354,-0.006825,-0.699873,0.714215,-0.000107,-0.001115,-0.001870
-0.005547,-0.006671,-0.699855,0.714232,-0.000054,-0.001197,-0.001882
-0.006334,-0.005852,-0.699816,0.714271,-0.000025,-0.001213,-0.001978
-0.006490,-0.005798,-0.699832,0.714255,0.000001,-0.001232,-0.002068
-0.006465,-0.005712,-0.699840,0.714248,0.000100,-0.001144,-0.001894
-0.006407,-0.005800,-0.699839,0.714248,0.000133,-0.001111,-0.001867
-0.006269,-0.005913,-0.699811,0.714276,0.000078,-0.001089,-0.001886
-0.006197,-0.005979,-0.699812,0.714276,0.000058,-0.001051,-0.001943
-0.006106,-0.006065,-0.699855,0.714233,-0.000031,-0.001066,-0.001916
-0.006104,-0.006085,-0.699829,0.714259,-0.000113,-0.001128,-0.001831
-0.006077,-0.006170,-0.699862,0.714226,-0.000111,-0.001159,-0.001823
-0.006122,-0.006149,-0.699904,0.714184,-0.000073,-0.001135,-0.001889
-0.006066,-0.006168,-0.699931,0.714158,-0.000121,-0.001204,-0.001937
-0.005849,-0.006419,-0.699929,0.714159,-0.000150,-0.001126,-0.001872
-0.005845,-0.006437,-0.699876,0.714211,-0.000140,-0.001160,-0.001796
-0.005789,-0.006420,-0.699938,0.714151,-0.000125,-0.001226,-0.001719
-0.005703,-0.006489,-0.699916,0.714173,-0.000081,-0.001288,-0.001652
-0.005633,-0.006558,-0.699912,0.714177,-0.000127,-0.001318,-0.001692
-0.005543,-0.006636,-0.699925,0.714164,-0.000229,-0.001316,-0.001750
-0.005385,-0.006911,-0.699935,0.714152,-0.000294,-0.001344,-0.001749
-0.005260,-0.007028,-0.699933,0.714154,-0.000270,-0.001411,-0.001748
-0.005196,-0.007165,-0.699930,0.714157,-0.000250,-0.001364,-0.001759
